Variation,Inclination,a,b,d,Matrix1.CplCoef(V_Outer1 V_Inner1),Matrix1.CplCoef(V_Outer2 V_Inner2)
274,15deg,0.5,3.5,10,-0.529009061,-0.542817716
184,10deg,0.5,3.5,10,-0.53112725,-0.540158094
94,5deg,0.5,3.5,10,-0.533334474,-0.538143397
281,15deg,0.5,4.5,20,-0.490616107,-0.517858291
191,10deg,0.5,4.5,20,-0.494786737,-0.513593551
101,5deg,0.5,4.5,20,-0.49829447,-0.508111605
276,15deg,0.5,3.5,30,-0.458111226,-0.499239773
186,10deg,0.5,3.5,30,-0.463983457,-0.491678795
277,15deg,0.5,4,10,-0.475301156,-0.488869591
187,10deg,0.5,4,10,-0.477637411,-0.486245082
284,15deg,0.5,5,20,-0.456324856,-0.484860392
96,5deg,0.5,3.5,30,-0.470514651,-0.484208315
97,5deg,0.5,4,10,-0.478954799,-0.483584226
194,10deg,0.5,5,20,-0.460271424,-0.479693319
104,5deg,0.5,5,20,-0.465750783,-0.475459677
14,0deg,0.5,5,20,-0.469824395,-0.4698091
15,0deg,0.5,5,30,-,-
16,0deg,0.5,5.5,10,-,-
17,0deg,0.5,5.5,20,-0.438817926,-0.438765198
18,0deg,0.5,5.5,30,-,-
99,5deg,0.5,4,30,-,-
107,5deg,0.5,5.5,20,-0.434594924,-0.443384423
100,5deg,0.5,4.5,10,-0.41094824,-0.415405281
102,5deg,0.5,4.5,30,-,-
103,5deg,0.5,5,10,-,-
105,5deg,0.5,5,30,-,-
106,5deg,0.5,5.5,10,-,-
108,5deg,0.5,5.5,30,-,-
189,10deg,0.5,4,30,-,-
190,10deg,0.5,4.5,10,-0.407338648,-0.416371246
192,10deg,0.5,4.5,30,-,-
193,10deg,0.5,5,10,-,-
195,10deg,0.5,5,30,-,-
196,10deg,0.5,5.5,10,-,-
197,10deg,0.5,5.5,20,-0.429659345,-0.448426931
198,10deg,0.5,5.5,30,-,-
279,15deg,0.5,4,30,-,-
280,15deg,0.5,4.5,10,-0.40786822,-0.421010262
282,15deg,0.5,4.5,30,-,-
283,15deg,0.5,5,10,-,-
285,15deg,0.5,5,30,-,-
286,15deg,0.5,5.5,10,-,-
287,15deg,0.5,5.5,20,-0.425011907,-0.453519439
288,15deg,0.5,5.5,30,-,-
362,20deg,0.5,3,20,-0.602894852,-0.639693624
365,20deg,0.5,3.5,20,-0.559722324,-0.598026036
361,20deg,0.5,3,10,-0.578874826,-0.596654621
363,20deg,0.5,3,30,-0.53014798,-0.586238556
368,20deg,0.5,4,20,-0.520217957,-0.559033184
364,20deg,0.5,3.5,10,-0.527529402,-0.546381675
371,20deg,0.5,4.5,20,-0.485625724,-0.524430622
366,20deg,0.5,3.5,30,-0.452007826,-0.508464587
367,20deg,0.5,4,10,-0.472648925,-0.49136275
374,20deg,0.5,5,20,-0.452259742,-0.4905823
377,20deg,0.5,5.5,20,-0.420987062,-0.45927184
369,20deg,0.5,4,30,-,-
370,20deg,0.5,4.5,10,-0.404393646,-0.422557136
372,20deg,0.5,4.5,30,-,-
373,20deg,0.5,5,10,-,-
375,20deg,0.5,5,30,-,-
376,20deg,0.5,5.5,10,-,-
378,20deg,0.5,5.5,30,-,-
